aoi,acquisition_date,merra2_duexttau_550,cams_total_aod_550,merra2_n_images_used,cams_n_images_used,merra2_window_min_utc,merra2_window_max_utc,cams_window_min_utc,cams_window_max_utc
diriyah_gate,2020-06-04,0.450698,0.329718,2,20,2020-06-04T07:00,2020-06-04T08:00,2020-06-04T06:00,2020-06-04T09:00
diriyah_gate,2020-07-04,0.208158,0.416243,2,20,2020-07-04T07:00,2020-07-04T08:00,2020-07-04T06:00,2020-07-04T09:00
diriyah_gate,2020-08-03,0.186489,0.599810,2,20,2020-08-03T07:00,2020-08-03T08:00,2020-08-03T06:00,2020-08-03T09:00
diriyah_gate,2020-09-12,0.268543,0.445732,2,20,2020-09-12T07:00,2020-09-12T08:00,2020-09-12T06:00,2020-09-12T09:00
diriyah_gate,2020-10-02,0.161130,0.272239,2,20,2020-10-02T07:00,2020-10-02T08:00,2020-10-02T06:00,2020-10-02T09:00
diriyah_gate,2020-11-11,0.083679,0.153032,2,20,2020-11-11T07:00,2020-11-11T08:00,2020-11-11T06:00,2020-11-11T09:00
diriyah_gate,2020-12-11,0.109612,0.232785,2,18,2020-12-11T07:00,2020-12-11T08:00,2020-12-11T06:00,2020-12-11T09:00
diriyah_gate,2021-01-05,0.146169,0.423023,2,20,2021-01-05T07:00,2021-01-05T08:00,2021-01-05T06:00,2021-01-05T09:00
diriyah_gate,2021-02-14,0.075125,0.247314,2,20,2021-02-14T07:00,2021-02-14T08:00,2021-02-14T06:00,2021-02-14T09:00
diriyah_gate,2021-03-31,0.501718,0.457540,2,20,2021-03-31T07:00,2021-03-31T08:00,2021-03-31T06:00,2021-03-31T09:00
diriyah_gate,2021-04-20,0.433358,0.534014,2,20,2021-04-20T07:00,2021-04-20T08:00,2021-04-20T06:00,2021-04-20T09:00
diriyah_gate,2021-05-05,0.270725,0.407718,2,20,2021-05-05T07:00,2021-05-05T08:00,2021-05-05T06:00,2021-05-05T09:00
diriyah_gate,2021-06-14,0.272891,0.337876,2,20,2021-06-14T07:00,2021-06-14T08:00,2021-06-14T06:00,2021-06-14T09:00
diriyah_gate,2021-07-24,0.360492,0.618454,2,20,2021-07-24T07:00,2021-07-24T08:00,2021-07-24T06:00,2021-07-24T09:00
diriyah_gate,2021-08-03,0.147833,0.425387,2,20,2021-08-03T07:00,2021-08-03T08:00,2021-08-03T06:00,2021-08-03T09:00
diriyah_gate,2021-09-07,0.254906,0.452527,2,20,2021-09-07T07:00,2021-09-07T08:00,2021-09-07T06:00,2021-09-07T09:00
diriyah_gate,2021-10-27,0.226531,0.338521,2,20,2021-10-27T07:00,2021-10-27T08:00,2021-10-27T06:00,2021-10-27T09:00
diriyah_gate,2021-11-21,0.261969,0.394215,2,20,2021-11-21T07:00,2021-11-21T08:00,2021-11-21T06:00,2021-11-21T09:00
diriyah_gate,2021-12-01,0.075202,0.124711,2,20,2021-12-01T07:00,2021-12-01T08:00,2021-12-01T06:00,2021-12-01T09:00
diriyah_gate,2022-01-10,0.091067,0.202058,2,20,2022-01-10T07:00,2022-01-10T08:00,2022-01-10T06:00,2022-01-10T09:00
diriyah_gate,2022-02-04,0.249224,0.270296,2,20,2022-02-04T07:00,2022-02-04T08:00,2022-02-04T06:00,2022-02-04T09:00
diriyah_gate,2022-03-16,0.509200,0.674060,2,20,2022-03-16T07:00,2022-03-16T08:00,2022-03-16T06:00,2022-03-16T09:00
diriyah_gate,2022-04-10,0.495798,0.474878,2,20,2022-04-10T07:00,2022-04-10T08:00,2022-04-10T06:00,2022-04-10T09:00
diriyah_gate,2022-05-10,0.635254,0.599859,2,20,2022-05-10T07:00,2022-05-10T08:00,2022-05-10T06:00,2022-05-10T09:00
diriyah_gate,2022-06-09,0.210773,0.295948,2,20,2022-06-09T07:00,2022-06-09T08:00,2022-06-09T06:00,2022-06-09T09:00
diriyah_gate,2022-07-04,0.177075,0.506229,2,20,2022-07-04T07:00,2022-07-04T08:00,2022-07-04T06:00,2022-07-04T09:00
diriyah_gate,2022-08-18,0.604589,0.644868,2,20,2022-08-18T07:00,2022-08-18T08:00,2022-08-18T06:00,2022-08-18T09:00
diriyah_gate,2022-09-07,0.344994,0.419924,2,20,2022-09-07T07:00,2022-09-07T08:00,2022-09-07T06:00,2022-09-07T09:00
